customer_id,signup_date,plan_type,monthly_charge,tenure_months,churn_flag,churn_date,churn_reason,usage_frequency,support_tickets_raised,last_login_date,payment_method,region,age_group,acquisition_channel,upsell_count,downsell_count,discount_applied,discount_pct,cohort_month,tenure_bucket,recency_days,frequency_per_month,historical_clv,clv_tier,signup_year_month,churn_month
C04486,2023-03-12,Basic,24.41,18,1,2025-04-30,price sensitivity,7.0,2.0,2025-03-14,ACH,Latin America,35-44,Organic Search,5,1,1,0.038,2023-03-01,13-24,267,0.3888888888888889,422.68,Medium,2023-03,2025-04-01
C06815,2023-03-12,Standard,35.21,18,0,,billing,6.0,0.0,2025-05-27,Card,Latin America,45-54,Paid Ads,2,0,1,0.15387499999999998,2023-03-01,13-24,193,0.3333333333333333,536.26,High,2023-03,
C01588,2023-03-13,Standard,46.19,17,1,2024-04-24,billing,12.0,0.0,2024-03-31,Card,North America,35-44,Organic Search,3,0,1,0.064,2023-03-01,13-24,615,0.7058823529411765,734.98,High,2023-03,2024-04-01
C03916,2023-03-13,Standard,38.89,27,0,,billing,11.0,1.0,2025-06-06,Card,North America,25-34,Partnerships,3,0,1,0.056,2023-03-01,25-60,183,0.4074074074074074,991.23,High,2023-03,
C04624,2023-03-13,Basic,15.73,21,1,2023-12-06,support issues,5.0,5.0,2023-11-03,Card,Latin America,25-34,Referral,0,4,1,0.032,2023-03-01,13-24,764,0.23809523809523808,319.76,Medium,2023-03,2023-12-01
C06919,2023-03-13,Basic,18.81,27,0,,billing,12.0,0.0,2025-05-31,Card,APAC,35-44,Partnerships,1,0,1,0.022,2023-03-01,25-60,189,0.4444444444444444,496.7,High,2023-03,
C00127,2023-03-14,Basic,21.66,20,1,2024-06-15,price sensitivity,9.0,1.0,2024-05-21,Card,APAC,25-34,Organic Search,2,0,1,0.009,2023-03-01,13-24,564,0.45,429.3,Medium,2023-03,2024-06-01
C00217,2023-03-14,Standard,42.12,20,1,2024-06-07,billing,13.0,0.0,2024-03-06,Card,Europe,45-54,Direct,5,0,1,0.068,2023-03-01,13-24,640,0.65,785.12,High,2023-03,2024-06-01
C01571,2023-03-14,Basic,14.49,17,1,2023-10-22,support issues,8.0,3.0,2023-09-21,Card,North America,35-44,Paid Ads,5,0,1,0.15387499999999998,2023-03-01,13-24,807,0.47058823529411764,208.43,Medium,2023-03,2023-10-01
C06018,2023-03-14,Standard,36.29,27,0,,billing,13.0,0.0,2025-05-31,Card,North America,18-24,Email,4,0,1,0.062,2023-03-01,25-60,189,0.48148148148148145,919.08,High,2023-03,
C06522,2023-03-14,Premium,83.19125,18,1,2024-07-01,billing,13.0,0.0,2024-01-07,Card,Europe,18-24,Paid Ads,5,0,1,0.026,2023-03-01,13-24,699,0.7222222222222222,1458.51,High,2023-03,2024-07-01
C06667,2023-03-14,Standard,42.28,27,0,,billing,14.0,1.0,2025-11-06,Card,Europe,45-54,Referral,5,1,1,0.039,2023-03-01,25-60,30,0.5185185185185185,1097.04,High,2023-03,
C00439,2023-03-15,Basic,13.72,22,1,2023-12-24,support issues,5.0,3.0,2023-08-12,ACH,Europe,25-34,Direct,4,1,1,0.062,2023-03-01,13-24,847,0.22727272727272727,283.13,Medium,2023-03,2023-12-01
C01096,2023-03-15,Basic,17.81,18,1,2024-08-07,no usage,3.0,5.0,2024-06-25,PayPal,Europe,45-54,Paid Ads,0,1,1,0.043,2023-03-01,13-24,529,0.16666666666666666,306.8,Medium,2023-03,2024-08-01
C02752,2023-03-15,Basic,16.09,19,1,2023-12-07,no usage,0.0,3.0,2023-11-14,Card,Latin America,45-54,Paid Ads,0,1,1,0.077,2023-03-01,13-24,753,0.0,282.17,Medium,2023-03,2023-12-01
C03759,2023-03-15,Standard,37.78,27,0,,billing,14.0,0.0,2025-09-06,Card,Europe,25-34,Direct,5,0,1,0.049,2023-03-01,25-60,91,0.5185185185185185,970.08,High,2023-03,
C04537,2023-03-15,Basic,20.35,27,0,,billing,6.0,5.0,2025-05-06,Card,APAC,25-34,Organic Search,1,0,1,0.025,2023-03-01,25-60,214,0.2222222222222222,535.71,High,2023-03,
C04648,2023-03-15,Standard,39.38,27,0,,billing,12.0,2.0,2025-06-10,Card,North America,25-34,Direct,4,0,1,0.036,2023-03-01,25-60,179,0.4444444444444444,1024.98,High,2023-03,
C05139,2023-03-15,Standard,35.98,27,0,,billing,10.0,2.0,2025-04-06,Card,Latin America,25-34,Direct,4,0,1,0.15387499999999998,2023-03-01,25-60,244,0.37037037037037035,821.98,High,2023-03,
C05508,2023-03-15,Premium,60.42,27,0,,billing,12.0,0.0,2025-07-06,Wallet,Europe,25-34,Partnerships,2,0,1,0.15387499999999998,2023-03-01,25-60,153,0.4444444444444444,1380.32,High,2023-03,
C06372,2023-03-15,Basic,21.66,17,1,2024-08-05,billing,5.0,2.0,2024-10-07,Card,North America,25-34,Partnerships,3,1,1,0.077,2023-03-01,13-24,425,0.29411764705882354,339.87,Medium,2023-03,2024-08-01
C07411,2023-03-15,Basic,13.5,17,1,2023-10-27,billing,9.0,0.0,2023-09-28,Card,Europe,45-54,Paid Ads,5,0,1,0.055,2023-03-01,13-24,800,0.5294117647058824,216.88,Medium,2023-03,2023-10-01
C01851,2023-03-16,Standard,51.56,16,1,2023-10-02,billing,10.0,0.0,2023-10-09,Card,North America,35-44,Direct,2,0,1,0.075,2023-03-01,13-24,789,0.625,763.09,High,2023-03,2023-10-01
C03134,2023-03-16,Premium,83.19125,27,0,,billing,15.0,0.0,2025-10-06,Card,North America,25-34,Partnerships,5,0,1,0.042,2023-03-01,25-60,61,0.5555555555555556,2151.82,High,2023-03,
C05591,2023-03-16,Basic,16.43,20,1,2024-07-14,competitor,8.0,2.0,2024-06-23,Card,North America,45-54,Email,2,0,1,0.026,2023-03-01,13-24,531,0.4,320.06,Medium,2023-03,2024-07-01
C06965,2023-03-16,Standard,35.3,20,1,2024-09-05,price sensitivity,6.0,4.0,2024-03-22,ACH,APAC,35-44,Direct,0,0,1,0.039,2023-03-01,13-24,624,0.3,678.47,High,2023-03,2024-09-01
C00280,2023-03-17,Premium,83.19125,27,0,,billing,14.0,1.0,2025-03-06,Card,Europe,25-34,Partnerships,5,0,1,0.15387499999999998,2023-03-01,25-60,275,0.5185185185185185,1900.54,High,2023-03,
C01361,2023-03-17,Basic,21.17,14,1,2023-08-23,billing,6.0,4.0,2023-07-18,Card,Latin America,25-34,Email,0,2,1,0.01,2023-03-01,13-24,872,0.42857142857142855,293.42,Medium,2023-03,2023-08-01
C02635,2023-03-17,Basic,19.75,22,1,2024-07-01,product dissatisfaction,4.0,3.0,2023-12-01,PayPal,Europe,25-34,Paid Ads,2,2,1,0.06,2023-03-01,13-24,736,0.18181818181818182,408.43,Medium,2023-03,2024-07-01
C03639,2023-03-17,Basic,20.49,27,0,,billing,9.0,2.0,2025-05-29,Card,APAC,45-54,Organic Search,4,0,1,0.069,2023-03-01,25-60,191,0.3333333333333333,515.06,High,2023-03,
C03887,2023-03-17,Standard,36.93,27,0,,billing,11.0,3.0,2025-07-06,PayPal,North America,35-44,Paid Ads,5,0,1,0.061,2023-03-01,25-60,153,0.4074074074074074,936.29,High,2023-03,
C04577,2023-03-17,Standard,33.27,27,0,,billing,12.0,2.0,2025-10-06,Card,Europe,25-34,Email,5,0,1,0.027,2023-03-01,25-60,61,0.4444444444444444,874.04,High,2023-03,
C05262,2023-03-17,Standard,50.83,19,1,2024-02-29,billing,10.0,0.0,2024-02-21,PayPal,North America,25-34,Paid Ads,5,1,1,0.054,2023-03-01,13-24,654,0.5263157894736842,913.62,High,2023-03,2024-02-01
C07312,2023-03-17,Standard,28.16,20,1,2024-04-06,price sensitivity,9.0,1.0,2024-05-13,Card,Latin America,18-24,Paid Ads,5,0,1,0.03,2023-03-01,13-24,572,0.45,546.3,High,2023-03,2024-04-01
C00431,2023-03-18,Standard,45.94,27,0,,billing,11.0,1.0,2025-06-07,Card,Europe,55+,Direct,5,0,1,0.15387499999999998,2023-03-01,25-60,182,0.4074074074074074,1049.52,High,2023-03,
C01122,2023-03-18,Basic,23.94,19,1,2023-08-11,support issues,8.0,0.0,2023-10-21,ACH,North America,18-24,Referral,2,0,1,0.009,2023-03-01,13-24,777,0.42105263157894735,450.77,Medium,2023-03,2023-08-01
C06194,2023-03-18,Standard,38.11,27,0,,billing,12.0,0.0,2025-06-07,Card,Latin America,25-34,Organic Search,2,0,1,0.15387499999999998,2023-03-01,25-60,182,0.4444444444444444,870.64,High,2023-03,
C00246,2023-03-19,Basic,27.04,20,1,2024-09-16,billing,9.0,3.0,2024-07-29,Card,North America,45-54,Email,4,0,1,0.046,2023-03-01,13-24,495,0.45,515.92,High,2023-03,2024-09-01
C00678,2023-03-19,Basic,16.95,15,1,2023-11-08,competitor,8.0,1.0,2023-11-10,Card,Latin America,18-24,Direct,2,1,1,0.04,2023-03-01,13-24,757,0.5333333333333333,244.08,Medium,2023-03,2023-11-01
C01256,2023-03-19,Standard,35.9,13,1,2023-08-21,billing,8.0,0.0,2023-07-24,PayPal,North America,55+,Paid Ads,2,0,1,0.071,2023-03-01,13-24,866,0.6153846153846154,433.56,Medium,2023-03,2023-08-01
C01328,2023-03-19,Basic,13.66,21,1,2023-11-14,price sensitivity,11.0,1.0,2023-10-31,Card,APAC,25-34,Direct,3,0,1,0.142,2023-03-01,13-24,767,0.5238095238095238,246.13,Medium,2023-03,2023-11-01
C03321,2023-03-19,Standard,49.0,16,1,2024-04-10,billing,12.0,2.0,2024-11-03,ACH,APAC,25-34,Paid Ads,5,0,1,0.015,2023-03-01,13-24,398,0.75,772.24,High,2023-03,2024-04-01
C03543,2023-03-19,Premium,73.54,17,1,2024-02-05,billing,11.0,2.0,2024-04-10,Card,APAC,35-44,Organic Search,5,0,1,0.049,2023-03-01,13-24,605,0.6470588235294118,1188.92,High,2023-03,2024-02-01
C06010,2023-03-19,Basic,18.14,13,1,2024-11-02,billing,5.0,4.0,2024-11-01,Card,Latin America,55+,Direct,1,1,1,0.055,2023-03-01,13-24,400,0.38461538461538464,222.85,Medium,2023-03,2024-11-01
C06609,2023-03-19,Standard,34.91,27,0,,billing,17.0,1.0,2025-06-13,Wallet,North America,18-24,Direct,5,0,1,0.144,2023-03-01,25-60,176,0.6296296296296297,806.84,High,2023-03,
C00007,2023-03-20,Basic,18.32,17,1,2024-09-08,billing,6.0,4.0,2024-06-25,ACH,North America,45-54,Referral,2,0,1,0.15387499999999998,2023-03-01,13-24,529,0.35294117647058826,263.52,Medium,2023-03,2024-09-01
C00753,2023-03-20,Standard,32.78,27,0,,billing,11.0,1.0,2025-05-06,Card,North America,25-34,Referral,5,0,1,0.029,2023-03-01,25-60,214,0.4074074074074074,859.39,High,2023-03,
C00881,2023-03-20,Basic,20.33,22,1,2024-02-11,billing,6.0,1.0,2024-10-20,ACH,Europe,45-54,Direct,2,0,1,0.011,2023-03-01,13-24,412,0.2727272727272727,442.34,Medium,2023-03,2024-02-01
C02366,2023-03-20,Standard,42.13,18,1,2024-06-06,billing,10.0,1.0,2024-04-27,PayPal,North America,45-54,Organic Search,1,2,1,0.085,2023-03-01,13-24,588,0.5555555555555556,693.88,High,2023-03,2024-06-01
C02529,2023-03-20,Standard,46.64,27,0,,billing,9.0,1.0,2025-06-14,PayPal,North America,18-24,Referral,2,1,1,0.066,2023-03-01,25-60,175,0.3333333333333333,1176.17,High,2023-03,
C05229,2023-03-20,Standard,33.73,27,0,,billing,9.0,0.0,2025-11-06,Card,Latin America,55+,Organic Search,5,0,1,0.046,2023-03-01,25-60,30,0.3333333333333333,868.82,High,2023-03,
C05367,2023-03-20,Basic,20.35,16,1,2024-09-02,competitor,11.0,2.0,2024-01-14,Card,Latin America,18-24,Organic Search,2,1,1,0.028,2023-03-01,13-24,692,0.6875,316.48,Medium,2023-03,2024-09-01
C05876,2023-03-20,Standard,33.87,16,1,2023-01-11,no usage,7.0,4.0,2023-10-02,ACH,APAC,55+,Organic Search,2,0,1,0.054,2023-03-01,13-24,796,0.4375,512.66,High,2023-03,2023-01-01
C06413,2023-03-20,Basic,22.23,27,0,,billing,7.0,4.0,2025-06-13,Card,North America,55+,Partnerships,3,0,1,0.068,2023-03-01,25-60,176,0.25925925925925924,559.4,High,2023-03,
C06638,2023-03-20,Standard,38.63,27,0,,billing,10.0,4.0,2025-06-17,ACH,Latin America,25-34,Partnerships,4,0,1,0.057,2023-03-01,25-60,172,0.37037037037037035,983.56,High,2023-03,
C06854,2023-03-20,Standard,42.88,27,0,,billing,15.0,2.0,2025-06-15,Card,Europe,25-34,Partnerships,3,0,1,0.078,2023-03-01,25-60,174,0.5555555555555556,1067.45,High,2023-03,
C00196,2023-03-21,Premium,70.39,27,0,,billing,11.0,0.0,2025-06-13,Wallet,North America,25-34,Partnerships,3,0,1,0.012,2023-03-01,25-60,176,0.4074074074074074,1877.72,High,2023-03,
C00728,2023-03-21,Basic,20.33,27,0,,billing,9.0,1.0,2025-06-14,PayPal,Europe,35-44,Referral,5,0,1,0.06,2023-03-01,25-60,175,0.3333333333333333,515.98,High,2023-03,
C02317,2023-03-21,Standard,46.99,23,1,2024-06-19,price sensitivity,10.0,2.0,2024-07-05,Card,Europe,55+,Organic Search,3,0,1,0.019,2023-03-01,13-24,519,0.43478260869565216,1060.24,High,2023-03,2024-06-01
C02865,2023-03-21,Premium,66.37,27,0,,billing,15.0,0.0,2025-09-06,Wallet,Europe,55+,Referral,4,0,1,0.044,2023-03-01,25-60,91,0.5555555555555556,1713.14,High,2023-03,
C03281,2023-03-21,Basic,13.13,27,0,,billing,9.0,1.0,2025-06-17,Card,North America,45-54,Partnerships,0,0,1,0.036,2023-03-01,25-60,172,0.3333333333333333,341.75,Medium,2023-03,
C03535,2023-03-21,Premium,83.19125,21,1,2024-04-17,billing,14.0,1.0,2024-03-29,ACH,North America,45-54,Paid Ads,3,0,1,0.048,2023-03-01,13-24,617,0.6666666666666666,1663.16,High,2023-03,2024-04-01
C03620,2023-03-21,Premium,75.55,27,0,,billing,14.0,0.0,2025-06-15,Card,North America,55+,Email,4,0,1,0.007,2023-03-01,25-60,174,0.5185185185185185,2025.57,High,2023-03,
C05179,2023-03-21,Basic,17.25,27,0,,billing,8.0,2.0,2025-05-28,Card,North America,45-54,Partnerships,2,0,1,0.032,2023-03-01,25-60,192,0.2962962962962963,450.85,Medium,2023-03,
C06157,2023-03-21,Standard,44.73,27,0,,billing,8.0,2.0,2025-06-06,PayPal,North America,45-54,Paid Ads,5,0,1,0.076,2023-03-01,25-60,183,0.2962962962962963,1115.92,High,2023-03,
C07188,2023-03-21,Standard,49.91,27,0,,billing,11.0,3.0,2025-06-10,Card,APAC,18-24,Direct,5,0,1,0.058,2023-03-01,25-60,179,0.4074074074074074,1269.41,High,2023-03,
C07403,2023-03-21,Basic,15.93,14,1,2023-09-20,price sensitivity,4.0,1.0,2023-08-14,Card,APAC,18-24,Paid Ads,0,3,1,0.074,2023-03-01,13-24,845,0.2857142857142857,206.52,Medium,2023-03,2023-09-01
C01721,2023-03-22,Standard,45.43,27,0,,billing,14.0,0.0,2025-06-16,Card,North America,25-34,Direct,5,0,1,0.15387499999999998,2023-03-01,25-60,173,0.5185185185185185,1037.87,High,2023-03,
C03982,2023-03-22,Standard,39.61,15,1,2024-03-06,billing,6.0,2.0,2024-02-16,ACH,APAC,35-44,Partnerships,1,0,1,0.15387499999999998,2023-03-01,13-24,659,0.4,502.73,High,2023-03,2024-03-01
C04432,2023-03-22,Standard,39.54,27,0,,billing,14.0,0.0,2025-06-14,Wallet,Europe,25-34,Organic Search,5,1,1,0.069,2023-03-01,25-60,175,0.5185185185185185,993.92,High,2023-03,
C05194,2023-03-22,Standard,35.5,20,1,2024-02-03,competitor,12.0,1.0,2024-02-14,ACH,APAC,25-34,Organic Search,4,1,1,0.15387499999999998,2023-03-01,13-24,661,0.6,600.75,High,2023-03,2024-02-01
C05535,2023-03-22,Standard,33.06,27,0,,billing,12.0,1.0,2025-06-15,Card,Europe,45-54,Organic Search,2,0,1,0.042,2023-03-01,25-60,174,0.4444444444444444,855.13,High,2023-03,
C05792,2023-03-22,Premium,69.98,27,0,,billing,17.0,0.0,2025-06-15,Card,Latin America,45-54,Referral,1,0,1,0.038,2023-03-01,25-60,174,0.6296296296296297,1817.66,High,2023-03,
C06513,2023-03-22,Basic,24.19,17,1,2024-07-09,competitor,6.0,1.0,2024-06-17,PayPal,APAC,25-34,Direct,3,0,1,0.011,2023-03-01,13-24,537,0.35294117647058826,406.71,Medium,2023-03,2024-07-01
C00001,2023-03-23,Basic,19.41,16,1,2024-02-01,billing,5.0,2.0,2024-01-25,Card,Europe,25-34,Paid Ads,2,0,1,0.02,2023-03-01,13-24,681,0.3125,304.35,Medium,2023-03,2024-02-01
C01531,2023-03-23,Premium,83.19125,27,0,,billing,18.0,0.0,2025-06-18,Card,North America,25-34,Organic Search,5,0,1,0.08,2023-03-01,25-60,171,0.6666666666666666,2066.47,High,2023-03,
C01543,2023-03-23,Premium,80.38,15,1,2023-12-19,no usage,14.0,0.0,2023-11-27,PayPal,Europe,18-24,Paid Ads,4,0,1,0.029,2023-03-01,13-24,740,0.9333333333333333,1170.73,High,2023-03,2023-12-01
C01809,2023-03-23,Standard,42.23,12,1,2024-02-23,billing,5.0,2.0,2024-01-14,Card,Europe,35-44,Direct,1,3,1,0.035,2023-03-01,7-12,692,0.4166666666666667,489.02,Medium,2023-03,2024-02-01
C01931,2023-03-23,Premium,83.19125,27,0,,billing,13.0,0.0,2025-06-13,Card,Europe,35-44,Direct,5,0,1,0.055,2023-03-01,25-60,176,0.48148148148148145,2122.62,High,2023-03,
C02854,2023-03-23,Basic,11.57,27,0,,billing,11.0,1.0,2025-09-06,Card,APAC,35-44,Paid Ads,1,0,1,0.026,2023-03-01,25-60,91,0.4074074074074074,304.27,Medium,2023-03,
C03248,2023-03-23,Basic,25.21,16,1,2024-03-19,billing,9.0,2.0,2024-02-15,Card,North America,25-34,Referral,2,0,1,0.085,2023-03-01,13-24,660,0.5625,369.07,Medium,2023-03,2024-03-01
C04258,2023-03-23,Premium,79.49,27,0,,billing,15.0,0.0,2025-06-04,Wallet,Latin America,25-34,Paid Ads,4,0,1,0.15387499999999998,2023-03-01,25-60,185,0.5555555555555556,1815.98,High,2023-03,
C04698,2023-03-23,Standard,32.55,20,1,2024-02-28,support issues,13.0,1.0,2024-02-13,Wallet,North America,25-34,Paid Ads,3,0,1,0.073,2023-03-01,13-24,662,0.65,603.48,High,2023-03,2024-02-01
C00133,2023-03-24,Standard,32.36,27,0,,billing,12.0,0.0,2025-06-18,Card,Europe,25-34,Paid Ads,5,0,1,0.15387499999999998,2023-03-01,25-60,171,0.4444444444444444,739.28,High,2023-03,
C00172,2023-03-24,Premium,83.19125,27,0,,billing,15.0,0.0,2025-08-06,PayPal,North America,55+,Organic Search,4,0,1,0.15387499999999998,2023-03-01,25-60,122,0.5555555555555556,1900.54,High,2023-03,
C00359,2023-03-24,Premium,74.04,27,0,,billing,13.0,0.0,2025-06-16,Card,North America,35-44,Partnerships,5,0,1,0.047,2023-03-01,25-60,173,0.48148148148148145,1905.12,High,2023-03,
C00695,2023-03-24,Basic,15.89,20,1,2024-04-17,billing,2.0,4.0,2024-03-10,Card,North America,45-54,Organic Search,2,2,1,0.077,2023-03-01,13-24,636,0.1,293.33,Medium,2023-03,2024-04-01
C00826,2023-03-24,Basic,9.99,27,0,,billing,9.0,0.0,2025-11-06,Card,APAC,25-34,Organic Search,1,0,1,0.023,2023-03-01,25-60,30,0.3333333333333333,263.53,Medium,2023-03,
C02033,2023-03-24,Standard,35.29,27,0,,billing,10.0,2.0,2025-06-08,PayPal,APAC,25-34,Email,5,0,1,0.144,2023-03-01,25-60,181,0.37037037037037035,815.62,High,2023-03,
C02912,2023-03-24,Premium,83.19125,19,1,2023-11-30,billing,11.0,0.0,2023-11-07,PayPal,Latin America,45-54,Email,1,0,1,0.059,2023-03-01,13-24,760,0.5789473684210527,1487.38,High,2023-03,2023-11-01
C03528,2023-03-24,Standard,35.14,27,0,,billing,14.0,0.0,2025-01-06,PayPal,North America,25-34,Partnerships,4,1,1,0.043,2023-03-01,25-60,334,0.5185185185185185,907.98,High,2023-03,
C04128,2023-03-24,Standard,38.61,27,0,,billing,11.0,0.0,2025-06-20,Card,North America,55+,Organic Search,2,0,1,0.06,2023-03-01,25-60,169,0.4074074074074074,979.92,High,2023-03,
C04926,2023-03-24,Standard,38.55,27,0,,billing,12.0,0.0,2025-06-14,Card,Latin America,25-34,Direct,3,0,1,0.027,2023-03-01,25-60,175,0.4444444444444444,1012.75,High,2023-03,
C06578,2023-03-24,Basic,9.99,27,0,,billing,5.0,2.0,2025-06-09,ACH,Europe,35-44,Direct,2,0,1,0.056,2023-03-01,25-60,180,0.18518518518518517,254.63,Medium,2023-03,
C07369,2023-03-24,Standard,43.47,18,1,2024-07-15,billing,16.0,0.0,2024-06-29,Card,Europe,35-44,Direct,5,0,1,0.15387499999999998,2023-03-01,13-24,525,0.8888888888888888,662.06,High,2023-03,2024-07-01
C07490,2023-03-24,Basic,15.9,27,0,,billing,14.0,1.0,2025-06-21,Card,North America,25-34,Direct,5,0,1,0.072,2023-03-01,25-60,168,0.5185185185185185,398.39,Medium,2023-03,
C00910,2023-03-25,Basic,18.76,18,1,2024-05-22,billing,6.0,5.0,2024-05-04,Card,APAC,25-34,Organic Search,2,1,1,0.024,2023-03-01,13-24,581,0.3333333333333333,329.58,Medium,2023-03,2024-05-01
C01633,2023-03-25,Standard,34.46,27,0,,billing,16.0,1.0,2025-06-20,PayPal,North America,18-24,Organic Search,4,0,1,0.15387499999999998,2023-03-01,25-60,169,0.5925925925925926,787.25,High,2023-03,
C02082,2023-03-25,Basic,21.41,27,0,,billing,10.0,0.0,2025-06-09,Card,Europe,25-34,Organic Search,5,0,1,0.072,2023-03-01,25-60,180,0.37037037037037035,536.45,High,2023-03,
C04101,2023-03-25,Standard,39.02,18,1,2023-11-23,billing,10.0,3.0,2023-10-10,PayPal,North America,25-34,Paid Ads,5,0,1,0.055,2023-03-01,13-24,788,0.5555555555555556,663.73,High,2023-03,2023-11-01
C06036,2023-03-25,Standard,35.74,27,0,,billing,13.0,1.0,2025-06-13,Card,North America,18-24,Direct,1,0,1,0.066,2023-03-01,25-60,176,0.48148148148148145,901.29,High,2023-03,
C06931,2023-03-25,Standard,37.48,13,1,2024-02-11,product dissatisfaction,6.0,2.0,2024-01-14,Card,Europe,18-24,Paid Ads,2,1,1,0.026,2023-03-01,13-24,692,0.46153846153846156,474.57,Medium,2023-03,2024-02-01
C00033,2023-03-26,Premium,83.19125,19,1,2024-12-09,product dissatisfaction,13.0,1.0,2024-08-26,Card,Europe,45-54,Organic Search,4,0,1,0.007,2023-03-01,13-24,467,0.6842105263157895,1569.57,High,2023-03,2024-12-01
C02340,2023-03-26,Standard,39.57,22,1,2024-10-25,billing,9.0,3.0,2024-02-10,Card,Europe,45-54,Referral,5,0,1,0.15387499999999998,2023-03-01,13-24,665,0.4090909090909091,736.59,High,2023-03,2024-10-01
C04528,2023-03-26,Standard,57.48,27,0,,billing,10.0,2.0,2025-06-19,Card,APAC,45-54,Direct,5,0,1,0.077,2023-03-01,25-60,170,0.37037037037037035,1432.46,High,2023-03,
C04611,2023-03-26,Basic,20.39,19,1,2024-05-15,billing,8.0,1.0,2024-04-25,Card,North America,18-24,Paid Ads,1,0,1,0.008,2023-03-01,13-24,590,0.42105263157894735,384.31,Medium,2023-03,2024-05-01
C05482,2023-03-26,Standard,33.01,15,1,2024-06-03,billing,9.0,2.0,2024-08-02,PayPal,Europe,55+,Paid Ads,5,0,1,0.075,2023-03-01,13-24,491,0.6,458.01,Medium,2023-03,2024-06-01
C05565,2023-03-26,Basic,21.2,27,0,,billing,5.0,1.0,2025-06-15,Card,APAC,35-44,Direct,0,0,1,0.047,2023-03-01,25-60,174,0.18518518518518517,545.5,High,2023-03,
C06655,2023-03-26,Basic,24.99,8,1,2023-06-20,billing,3.0,5.0,2023-04-05,Card,Latin America,18-24,Direct,3,1,1,0.032,2023-03-01,7-12,976,0.375,193.52,Low,2023-03,2023-06-01
C07386,2023-03-26,Premium,74.3,16,1,2024-12-03,product dissatisfaction,14.0,0.0,2024-02-21,Wallet,Latin America,35-44,Paid Ads,2,0,1,0.062,2023-03-01,13-24,654,0.875,1115.09,High,2023-03,2024-12-01
C00010,2023-03-27,Basic,13.55,16,1,2024-05-28,billing,4.0,1.0,2024-04-27,Card,North America,35-44,Organic Search,1,1,1,0.016,2023-03-01,13-24,588,0.25,213.33,Medium,2023-03,2024-05-01
C00581,2023-03-27,Basic,16.94,27,0,,billing,4.0,3.0,2025-06-18,PayPal,North America,35-44,Direct,2,0,1,0.103,2023-03-01,25-60,171,0.14814814814814814,410.27,Medium,2023-03,
C00951,2023-03-27,Premium,73.7,27,0,,billing,10.0,0.0,2025-06-11,Wallet,APAC,35-44,Organic Search,3,0,1,0.074,2023-03-01,25-60,178,0.37037037037037035,1842.65,High,2023-03,
C01690,2023-03-27,Basic,23.58,22,1,2024-09-08,price sensitivity,7.0,4.0,2024-06-17,ACH,North America,25-34,Organic Search,2,0,1,0.013,2023-03-01,13-24,537,0.3181818181818182,512.02,High,2023-03,2024-09-01
C02816,2023-03-27,Standard,38.8,27,0,,billing,13.0,2.0,2025-06-18,Card,Europe,35-44,Direct,5,0,1,0.079,2023-03-01,25-60,171,0.48148148148148145,964.84,High,2023-03,
C03414,2023-03-27,Standard,34.08,16,1,2024-07-03,no usage,10.0,1.0,2024-01-29,ACH,Europe,25-34,Direct,5,0,1,0.024,2023-03-01,13-24,677,0.625,532.19,High,2023-03,2024-07-01
C04300,2023-03-27,Standard,41.22,13,1,2023-12-12,billing,7.0,3.0,2023-01-11,Card,Latin America,25-34,Paid Ads,2,0,1,0.017,2023-03-01,13-24,1060,0.5384615384615384,526.75,High,2023-03,2023-12-01
C04466,2023-03-27,Basic,15.97,16,1,2023-03-10,price sensitivity,7.0,2.0,2023-09-03,Card,North America,18-24,Partnerships,1,0,1,0.001,2023-03-01,13-24,825,0.4375,255.26,Medium,2023-03,2023-03-01
C04572,2023-03-27,Standard,31.8,27,0,,billing,10.0,1.0,2025-06-24,Card,North America,55+,Paid Ads,5,0,1,0.0,2023-03-01,25-60,165,0.37037037037037035,858.6,High,2023-03,
C05479,2023-03-27,Standard,33.97,27,0,,billing,11.0,1.0,2025-06-13,Card,APAC,18-24,Organic Search,3,0,1,0.126,2023-03-01,25-60,176,0.4074074074074074,801.62,High,2023-03,
C05764,2023-03-27,Premium,73.27,27,0,,billing,17.0,0.0,2025-06-16,Card,Latin America,25-34,Direct,4,0,1,0.047,2023-03-01,25-60,173,0.6296296296296297,1885.31,High,2023-03,
C05903,2023-03-27,Basic,21.72,27,0,,billing,6.0,0.0,2025-06-22,PayPal,Latin America,35-44,Organic Search,2,0,1,0.062,2023-03-01,25-60,167,0.2222222222222222,550.08,High,2023-03,
C06396,2023-03-27,Premium,66.87,27,0,,billing,17.0,0.0,2025-06-20,Card,North America,55+,Paid Ads,5,0,1,0.026,2023-03-01,25-60,169,0.6296296296296297,1758.55,High,2023-03,
C06568,2023-03-27,Standard,40.33,27,0,,billing,10.0,0.0,2025-06-14,Card,North America,18-24,Organic Search,2,0,1,0.021,2023-03-01,25-60,175,0.37037037037037035,1066.04,High,2023-03,
C00243,2023-03-28,Basic,12.23,13,1,2024-04-25,product dissatisfaction,9.0,4.0,2024-12-03,Card,North America,25-34,Direct,1,0,1,0.079,2023-03-01,13-24,368,0.6923076923076923,146.43,Low,2023-03,2024-04-01
